model,model_id,condition,anchor,layer,patched_correct,margin_improvement,recovery
Qwen,Qwen/Qwen2.5-1.5B-Instruct,different_label_cross_item_clean_to_corrupt,all_option_ends,16,0.06315789473684211,0.47149122807017546,0.07850262649649481
Qwen,Qwen/Qwen2.5-1.5B-Instruct,different_label_cross_item_clean_to_corrupt,options_end,2,0.0912280701754386,0.32719298245614037,0.05058922548104089
Qwen,Qwen/Qwen2.5-1.5B-Instruct,different_label_cross_item_clean_to_corrupt,options_end,4,0.10877192982456141,0.3050438596491228,0.047184233076421736
Qwen,Qwen/Qwen2.5-1.5B-Instruct,different_label_cross_item_clean_to_corrupt,options_end,6,0.10175438596491228,0.27828947368421053,0.042185318141534985
Qwen,Qwen/Qwen2.5-1.5B-Instruct,different_label_cross_item_clean_to_corrupt,options_end,8,0.10877192982456141,0.23574561403508773,0.035500882213493665
Qwen,Qwen/Qwen2.5-1.5B-Instruct,different_label_cross_item_clean_to_corrupt,options_end,10,0.10526315789473684,0.24451754385964913,0.03556118450916087
Qwen,Qwen/Qwen2.5-1.5B-Instruct,different_label_cross_item_clean_to_corrupt,options_end,12,0.09473684210526316,0.1699561403508772,0.02089332488550225
Qwen,Qwen/Qwen2.5-1.5B-Instruct,different_label_cross_item_clean_to_corrupt,options_end,14,0.0912280701754386,0.17149122807017544,0.029596124788630357
Qwen,Qwen/Qwen2.5-1.5B-Instruct,different_label_cross_item_clean_to_corrupt,options_end,16,0.08070175438596491,0.13114035087719297,0.022826780725786016
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_item_clean_to_corrupt,all_option_ends,2,0.0456140350877193,0.24451754385964913,0.046261777788291
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_item_clean_to_corrupt,all_option_ends,4,0.042105263157894736,0.28771929824561404,0.05618817932937675
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_item_clean_to_corrupt,all_option_ends,6,0.056140350877192984,0.30350877192982456,0.064377990225818
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_item_clean_to_corrupt,all_option_ends,8,0.07719298245614035,0.2850877192982456,0.05980296207392064
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_item_clean_to_corrupt,all_option_ends,10,0.06666666666666667,0.35986842105263156,0.07189396231545477
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_item_clean_to_corrupt,all_option_ends,12,0.11228070175438597,0.5657894736842105,0.10405897961123937
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_item_clean_to_corrupt,all_option_ends,14,0.12982456140350876,0.7219298245614035,0.12865706257670687
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_item_clean_to_corrupt,all_option_ends,16,0.12982456140350876,0.7872807017543859,0.1384462358392712
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_item_clean_to_corrupt,options_end,2,0.02456140350877193,0.05416666666666667,0.01068922718197876
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_item_clean_to_corrupt,options_end,4,0.021052631578947368,0.059429824561403506,0.011433469259487437
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_item_clean_to_corrupt,options_end,6,0.017543859649122806,0.05526315789473684,0.009824092159459999
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_item_clean_to_corrupt,options_end,8,0.017543859649122806,0.03837719298245614,0.009014434749526649
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_item_clean_to_corrupt,options_end,10,0.031578947368421054,0.07587719298245614,0.014541238783397453
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_item_clean_to_corrupt,options_end,12,0.031578947368421054,0.19473684210526315,0.030530114415877482
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_item_clean_to_corrupt,options_end,14,0.042105263157894736,0.24605263157894736,0.04026026757662553
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_item_clean_to_corrupt,options_end,16,0.04912280701754386,0.2918859649122807,0.04748749357186816
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_label_cross_item_clean_to_corrupt,all_option_ends,2,0.18947368421052632,1.0004385964912281,0.18613119235776152
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_label_cross_item_clean_to_corrupt,all_option_ends,4,0.20350877192982456,1.0133771929824562,0.1838221008043917
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_label_cross_item_clean_to_corrupt,all_option_ends,6,0.1649122807017544,0.9324561403508772,0.16716017563060992
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_label_cross_item_clean_to_corrupt,all_option_ends,8,0.1368421052631579,0.7802631578947369,0.13706208393932606
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_label_cross_item_clean_to_corrupt,all_option_ends,10,0.16140350877192983,0.8449561403508772,0.14776391713122086
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_label_cross_item_clean_to_corrupt,all_option_ends,12,0.19298245614035087,1.1359649122807018,0.21488315365827407
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_label_cross_item_clean_to_corrupt,all_option_ends,14,0.16140350877192983,1.1631578947368422,0.2216054368548456
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_label_cross_item_clean_to_corrupt,all_option_ends,16,0.16842105263157894,1.1995614035087718,0.2444099938383082
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_label_cross_item_clean_to_corrupt,options_end,2,0.09473684210526316,0.2769736842105263,0.04188053661662492
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_label_cross_item_clean_to_corrupt,options_end,4,0.10877192982456141,0.30043859649122806,0.04236699976922263
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_label_cross_item_clean_to_corrupt,options_end,6,0.10175438596491228,0.28903508771929826,0.04147088307757082
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_label_cross_item_clean_to_corrupt,options_end,8,0.10175438596491228,0.29583333333333334,0.046296614948399054
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_label_cross_item_clean_to_corrupt,options_end,10,0.11228070175438597,0.30043859649122806,0.04471878937084809
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_label_cross_item_clean_to_corrupt,options_end,12,0.11929824561403508,0.4,0.06173925695950879
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_label_cross_item_clean_to_corrupt,options_end,14,0.11929824561403508,0.3331140350877193,0.05729472693150241
Qwen,Qwen/Qwen2.5-1.5B-Instruct,same_label_cross_item_clean_to_corrupt,options_end,16,0.09473684210526316,0.35482456140350876,0.06987516240311062
Qwen,Qwen/Qwen2.5-1.5B-Instruct,vanilla_to_corrupt,all_option_ends,2,0.028070175438596492,0.1730263157894737,0.030800008299308495
Qwen,Qwen/Qwen2.5-1.5B-Instruct,vanilla_to_corrupt,all_option_ends,4,0.03859649122807018,0.18596491228070175,0.03640012746666699
Qwen,Qwen/Qwen2.5-1.5B-Instruct,vanilla_to_corrupt,all_option_ends,6,0.042105263157894736,0.19078947368421054,0.039997414969111134
Qwen,Qwen/Qwen2.5-1.5B-Instruct,vanilla_to_corrupt,all_option_ends,8,0.06666666666666667,0.25043859649122807,0.05000316043659057
Qwen,Qwen/Qwen2.5-1.5B-Instruct,vanilla_to_corrupt,all_option_ends,10,0.08421052631578947,0.30679824561403507,0.05879802294783656
Qwen,Qwen/Qwen2.5-1.5B-Instruct,vanilla_to_corrupt,all_option_ends,12,0.10877192982456141,0.4410087719298246,0.0806647010243103
Qwen,Qwen/Qwen2.5-1.5B-Instruct,vanilla_to_corrupt,all_option_ends,14,0.11228070175438597,0.5342105263157895,0.09075648820083607
Qwen,Qwen/Qwen2.5-1.5B-Instruct,vanilla_to_corrupt,all_option_ends,16,0.10877192982456141,0.5447368421052632,0.09261195337670902
Qwen,Qwen/Qwen2.5-1.5B-Instruct,vanilla_to_corrupt,options_end,2,0.021052631578947368,0.043859649122807015,0.007866707433799087
Qwen,Qwen/Qwen2.5-1.5B-Instruct,vanilla_to_corrupt,options_end,4,0.021052631578947368,0.058333333333333334,0.0106057683526126
Qwen,Qwen/Qwen2.5-1.5B-Instruct,vanilla_to_corrupt,options_end,6,0.031578947368421054,0.05307017543859649,0.00993814991293001
Qwen,Qwen/Qwen2.5-1.5B-Instruct,vanilla_to_corrupt,options_end,8,0.03508771929824561,0.030921052631578946,0.006984942729724635
Qwen,Qwen/Qwen2.5-1.5B-Instruct,vanilla_to_corrupt,options_end,10,0.03508771929824561,0.07785087719298246,0.014739567178834892
Qwen,Qwen/Qwen2.5-1.5B-Instruct,vanilla_to_corrupt,options_end,12,0.03508771929824561,0.15745614035087718,0.027203998612982193
Qwen,Qwen/Qwen2.5-1.5B-Instruct,vanilla_to_corrupt,options_end,14,0.05263157894736842,0.1949561403508772,0.030483237098349023
Qwen,Qwen/Qwen2.5-1.5B-Instruct,vanilla_to_corrupt,options_end,16,0.03859649122807018,0.20043859649122808,0.029059400944811978
Mistral,mistralai/Mistral-7B-Instruct-v0.3,cross_item_clean_to_corrupt,all_option_ends,2,0.08333333333333333,0.29481119791666666,0.0336234606263294
Mistral,mistralai/Mistral-7B-Instruct-v0.3,cross_item_clean_to_corrupt,all_option_ends,5,0.09,0.2710489908854167,0.03467290332910496
Mistral,mistralai/Mistral-7B-Instruct-v0.3,cross_item_clean_to_corrupt,all_option_ends,7,0.09333333333333334,0.38290608723958336,0.04641762957812623
Mistral,mistralai/Mistral-7B-Instruct-v0.3,cross_item_clean_to_corrupt,all_option_ends,9,0.09666666666666666,0.49561767578125,0.06486754130398517
Mistral,mistralai/Mistral-7B-Instruct-v0.3,cross_item_clean_to_corrupt,all_option_ends,11,0.06666666666666667,0.52276611328125,0.07472167846777769
Mistral,mistralai/Mistral-7B-Instruct-v0.3,cross_item_clean_to_corrupt,all_option_ends,14,0.043333333333333335,0.3736348470052083,0.05714270268353622
Mistral,mistralai/Mistral-7B-Instruct-v0.3,cross_item_clean_to_corrupt,all_option_ends,16,0.02666666666666667,0.20971150716145834,0.03629846206677344
Mistral,mistralai/Mistral-7B-Instruct-v0.3,cross_item_clean_to_corrupt,all_option_ends,18,0.03,0.16807291666666666,0.030425100700864297
Mistral,mistralai/Mistral-7B-Instruct-v0.3,cross_item_clean_to_corrupt,options_end,2,0.04,0.13451904296875,0.006927261959931393
Mistral,mistralai/Mistral-7B-Instruct-v0.3,cross_item_clean_to_corrupt,options_end,5,0.04,0.1062060546875,0.007115679883080888
Mistral,mistralai/Mistral-7B-Instruct-v0.3,cross_item_clean_to_corrupt,options_end,7,0.03333333333333333,0.15706990559895834,0.01671178203007285
Mistral,mistralai/Mistral-7B-Instruct-v0.3,cross_item_clean_to_corrupt,options_end,9,0.04,0.16534342447916667,0.01753988027416141
Mistral,mistralai/Mistral-7B-Instruct-v0.3,cross_item_clean_to_corrupt,options_end,11,0.03333333333333333,0.16980265299479166,0.016184676733177302
Mistral,mistralai/Mistral-7B-Instruct-v0.3,cross_item_clean_to_corrupt,options_end,14,0.03,0.17131266276041668,0.021880859057204584
Mistral,mistralai/Mistral-7B-Instruct-v0.3,cross_item_clean_to_corrupt,options_end,16,0.01,0.10057454427083333,0.01461984570507005
Mistral,mistralai/Mistral-7B-Instruct-v0.3,cross_item_clean_to_corrupt,options_end,18,0.016666666666666666,0.09287109375,0.014314610445080292
Mistral,mistralai/Mistral-7B-Instruct-v0.3,different_label_cross_item_clean_to_corrupt,all_option_ends,2,0.1,0.5681229654947917,0.08439059583576368
Mistral,mistralai/Mistral-7B-Instruct-v0.3,different_label_cross_item_clean_to_corrupt,all_option_ends,5,0.10333333333333333,0.5544258626302083,0.07683698819609983
Mistral,mistralai/Mistral-7B-Instruct-v0.3,different_label_cross_item_clean_to_corrupt,all_option_ends,7,0.11666666666666667,0.5833158365885417,0.08600714965222264
Mistral,mistralai/Mistral-7B-Instruct-v0.3,different_label_cross_item_clean_to_corrupt,all_option_ends,9,0.11,0.4809493001302083,0.07206733712890123
Mistral,mistralai/Mistral-7B-Instruct-v0.3,different_label_cross_item_clean_to_corrupt,all_option_ends,11,0.07333333333333333,0.4158430989583333,0.057018417606501934
Mistral,mistralai/Mistral-7B-Instruct-v0.3,different_label_cross_item_clean_to_corrupt,all_option_ends,14,0.04,0.35621256510416666,0.04654160941923944
Mistral,mistralai/Mistral-7B-Instruct-v0.3,different_label_cross_item_clean_to_corrupt,all_option_ends,16,0.023333333333333334,0.22826904296875,0.036625300977169456
Mistral,mistralai/Mistral-7B-Instruct-v0.3,different_label_cross_item_clean_to_corrupt,all_option_ends,18,0.016666666666666666,0.14245279947916667,0.02283435834513882
Mistral,mistralai/Mistral-7B-Instruct-v0.3,different_label_cross_item_clean_to_corrupt,options_end,2,0.056666666666666664,0.18975992838541667,0.015327637158497893
Mistral,mistralai/Mistral-7B-Instruct-v0.3,different_label_cross_item_clean_to_corrupt,options_end,5,0.03666666666666667,0.13917643229166668,0.007855775197995163
Mistral,mistralai/Mistral-7B-Instruct-v0.3,different_label_cross_item_clean_to_corrupt,options_end,7,0.04,0.17892659505208333,0.01301447455476791
Mistral,mistralai/Mistral-7B-Instruct-v0.3,different_label_cross_item_clean_to_corrupt,options_end,9,0.03666666666666667,0.15933512369791666,0.014361731123419832
Mistral,mistralai/Mistral-7B-Instruct-v0.3,different_label_cross_item_clean_to_corrupt,options_end,11,0.03333333333333333,0.20655517578125,0.024606889063622177
Mistral,mistralai/Mistral-7B-Instruct-v0.3,different_label_cross_item_clean_to_corrupt,options_end,14,0.03,0.14368001302083333,0.014962018354734182
Mistral,mistralai/Mistral-7B-Instruct-v0.3,different_label_cross_item_clean_to_corrupt,options_end,16,0.013333333333333334,0.10154500325520834,0.013403908155349042
Mistral,mistralai/Mistral-7B-Instruct-v0.3,different_label_cross_item_clean_to_corrupt,options_end,18,0.016666666666666666,0.08679402669270833,0.012037830675728197
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_item_clean_to_corrupt,all_option_ends,2,0.006666666666666667,0.1751220703125,0.018878442104270823
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_item_clean_to_corrupt,all_option_ends,5,0.03333333333333333,0.26955607096354167,0.03548089110707112
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_item_clean_to_corrupt,all_option_ends,7,0.03,0.3460697428385417,0.047556086983023264
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_item_clean_to_corrupt,all_option_ends,9,0.06333333333333334,0.44376708984375,0.06155359407643851
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_item_clean_to_corrupt,all_option_ends,11,0.08666666666666667,0.576407470703125,0.08576966648305817
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_item_clean_to_corrupt,all_option_ends,14,0.09333333333333334,0.6441805013020834,0.09431695003497229
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_item_clean_to_corrupt,all_option_ends,16,0.03,0.18624593098958334,0.027988656703100568
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_item_clean_to_corrupt,all_option_ends,18,0.02,0.14809122721354168,0.020242626771503833
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_item_clean_to_corrupt,options_end,2,0.01,0.059044189453125,0.00883211733447447
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_item_clean_to_corrupt,options_end,5,0.02,0.08279093424479167,0.012793286932602314
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_item_clean_to_corrupt,options_end,7,0.02,0.09816487630208333,0.0150014336417137
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_item_clean_to_corrupt,options_end,9,0.02666666666666667,0.082127685546875,0.013534211559953517
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_item_clean_to_corrupt,options_end,11,0.03333333333333333,0.17576700846354168,0.026858022721106163
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_item_clean_to_corrupt,options_end,14,0.05,0.255528564453125,0.03771046452179158
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_item_clean_to_corrupt,options_end,16,0.016666666666666666,0.099359130859375,0.015549964727263275
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_item_clean_to_corrupt,options_end,18,0.013333333333333334,0.078607177734375,0.011280567612649839
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_label_cross_item_clean_to_corrupt,all_option_ends,2,0.09,0.313076171875,0.0483939000811615
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_label_cross_item_clean_to_corrupt,all_option_ends,5,0.09333333333333334,0.36666178385416665,0.0524734021225391
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_label_cross_item_clean_to_corrupt,all_option_ends,7,0.11666666666666667,0.49803792317708334,0.0728660583818762
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_label_cross_item_clean_to_corrupt,all_option_ends,9,0.10333333333333333,0.52546875,0.07073265004573709
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_label_cross_item_clean_to_corrupt,all_option_ends,11,0.08,0.7698286946614583,0.11001284425920728
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_label_cross_item_clean_to_corrupt,all_option_ends,14,0.07666666666666666,0.6789090983072916,0.10582480195288617
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_label_cross_item_clean_to_corrupt,all_option_ends,16,0.023333333333333334,0.3040543619791667,0.04996010407185615
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_label_cross_item_clean_to_corrupt,all_option_ends,18,0.02666666666666667,0.250472412109375,0.039856659145486806
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_label_cross_item_clean_to_corrupt,options_end,2,0.03666666666666667,0.08706217447916667,0.0038623716391212063
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_label_cross_item_clean_to_corrupt,options_end,5,0.043333333333333335,0.11586222330729166,0.007309563236983595
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_label_cross_item_clean_to_corrupt,options_end,7,0.03,0.10715128580729166,0.005349750997894115
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_label_cross_item_clean_to_corrupt,options_end,9,0.03666666666666667,0.13313802083333334,0.011520878008983439
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_label_cross_item_clean_to_corrupt,options_end,11,0.03,0.17727457682291667,0.02153104347371317
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_label_cross_item_clean_to_corrupt,options_end,14,0.03333333333333333,0.22269327799479166,0.03368359520310065
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_label_cross_item_clean_to_corrupt,options_end,16,0.01,0.136961669921875,0.020264327176983395
Mistral,mistralai/Mistral-7B-Instruct-v0.3,same_label_cross_item_clean_to_corrupt,options_end,18,0.016666666666666666,0.12670450846354167,0.018606184944265528
Mistral,mistralai/Mistral-7B-Instruct-v0.3,vanilla_to_corrupt,all_option_ends,2,0.03333333333333333,0.17297932942708333,0.017933304548259456
Mistral,mistralai/Mistral-7B-Instruct-v0.3,vanilla_to_corrupt,all_option_ends,5,0.04,0.283524169921875,0.03941000594991832
Mistral,mistralai/Mistral-7B-Instruct-v0.3,vanilla_to_corrupt,all_option_ends,7,0.043333333333333335,0.32069051106770835,0.04369764194510047
Mistral,mistralai/Mistral-7B-Instruct-v0.3,vanilla_to_corrupt,all_option_ends,9,0.06,0.31515584309895833,0.03924896969118665
Mistral,mistralai/Mistral-7B-Instruct-v0.3,vanilla_to_corrupt,all_option_ends,11,0.07666666666666666,0.46204752604166666,0.07111542779236389
Mistral,mistralai/Mistral-7B-Instruct-v0.3,vanilla_to_corrupt,all_option_ends,14,0.06666666666666667,0.3964314778645833,0.061005266475190174
Mistral,mistralai/Mistral-7B-Instruct-v0.3,vanilla_to_corrupt,all_option_ends,16,0.013333333333333334,0.11108479817708333,0.01685120015827093
Mistral,mistralai/Mistral-7B-Instruct-v0.3,vanilla_to_corrupt,all_option_ends,18,0.016666666666666666,0.09291788736979166,0.012545361599163484
Mistral,mistralai/Mistral-7B-Instruct-v0.3,vanilla_to_corrupt,options_end,2,0.01,0.041109619140625,0.005727097957369178
Mistral,mistralai/Mistral-7B-Instruct-v0.3,vanilla_to_corrupt,options_end,5,0.016666666666666666,0.072213134765625,0.01075733338982926
Mistral,mistralai/Mistral-7B-Instruct-v0.3,vanilla_to_corrupt,options_end,7,0.016666666666666666,0.085118408203125,0.011338499285780585
Mistral,mistralai/Mistral-7B-Instruct-v0.3,vanilla_to_corrupt,options_end,9,0.01,0.071595458984375,0.009962639985103015
Mistral,mistralai/Mistral-7B-Instruct-v0.3,vanilla_to_corrupt,options_end,11,0.016666666666666666,0.14547403971354167,0.020349588522252045
Mistral,mistralai/Mistral-7B-Instruct-v0.3,vanilla_to_corrupt,options_end,14,0.02666666666666667,0.153212890625,0.022209584370376297
Mistral,mistralai/Mistral-7B-Instruct-v0.3,vanilla_to_corrupt,options_end,16,0.006666666666666667,0.064639892578125,0.009792469031159328
Mistral,mistralai/Mistral-7B-Instruct-v0.3,vanilla_to_corrupt,options_end,18,0.006666666666666667,0.051487630208333336,0.007734610024438588
Phi,microsoft/Phi-3.5-mini-instruct,cross_item_clean_to_corrupt,all_option_ends,2,0.1553030303030303,0.5580906723484849,0.08779714942602432
Phi,microsoft/Phi-3.5-mini-instruct,cross_item_clean_to_corrupt,all_option_ends,5,0.13636363636363635,0.5680486505681818,0.08469751658112673
Phi,microsoft/Phi-3.5-mini-instruct,cross_item_clean_to_corrupt,all_option_ends,7,0.14772727272727273,0.7120176373106061,0.09251467420178112
Phi,microsoft/Phi-3.5-mini-instruct,cross_item_clean_to_corrupt,all_option_ends,9,0.1590909090909091,0.7711144649621212,0.10109203974374877
Phi,microsoft/Phi-3.5-mini-instruct,cross_item_clean_to_corrupt,all_option_ends,11,0.15151515151515152,0.7422022964015151,0.09628812998843582
Phi,microsoft/Phi-3.5-mini-instruct,cross_item_clean_to_corrupt,all_option_ends,14,0.08333333333333333,0.6070519649621212,0.07789357773319908
Phi,microsoft/Phi-3.5-mini-instruct,cross_item_clean_to_corrupt,all_option_ends,16,0.05303030303030303,0.2692501183712121,0.0335409286500806
Phi,microsoft/Phi-3.5-mini-instruct,cross_item_clean_to_corrupt,all_option_ends,18,0.01893939393939394,0.09551816998106061,0.01057432626470063
Phi,microsoft/Phi-3.5-mini-instruct,cross_item_clean_to_corrupt,options_end,2,0.07954545454545454,0.22484611742424243,0.027089268095899562
Phi,microsoft/Phi-3.5-mini-instruct,cross_item_clean_to_corrupt,options_end,5,0.0946969696969697,0.16827947443181818,0.016589145957288835
Phi,microsoft/Phi-3.5-mini-instruct,cross_item_clean_to_corrupt,options_end,7,0.07575757575757576,0.1800870028409091,0.009237531717300124
Phi,microsoft/Phi-3.5-mini-instruct,cross_item_clean_to_corrupt,options_end,9,0.07954545454545454,0.15907611268939395,0.0004426442789781307
Phi,microsoft/Phi-3.5-mini-instruct,cross_item_clean_to_corrupt,options_end,11,0.07196969696969698,0.2338275331439394,0.014225221001220065
Phi,microsoft/Phi-3.5-mini-instruct,cross_item_clean_to_corrupt,options_end,14,0.05303030303030303,0.2634499289772727,0.025691834314561995
Phi,microsoft/Phi-3.5-mini-instruct,cross_item_clean_to_corrupt,options_end,16,0.030303030303030304,0.1253995028409091,0.009867810356728013
Phi,microsoft/Phi-3.5-mini-instruct,cross_item_clean_to_corrupt,options_end,18,0.011363636363636364,0.06102035984848485,0.00703848726223386
Phi,microsoft/Phi-3.5-mini-instruct,different_label_cross_item_clean_to_corrupt,all_option_ends,2,0.16666666666666666,0.7553562973484849,0.09468179898127228
Phi,microsoft/Phi-3.5-mini-instruct,different_label_cross_item_clean_to_corrupt,all_option_ends,5,0.1590909090909091,0.6356090198863636,0.09199717976985618
Phi,microsoft/Phi-3.5-mini-instruct,different_label_cross_item_clean_to_corrupt,all_option_ends,7,0.1590909090909091,0.7685916785037878,0.10842060539217055
Phi,microsoft/Phi-3.5-mini-instruct,different_label_cross_item_clean_to_corrupt,all_option_ends,9,0.15151515151515152,0.6976799242424242,0.09308971611381282
Phi,microsoft/Phi-3.5-mini-instruct,different_label_cross_item_clean_to_corrupt,all_option_ends,11,0.13257575757575757,0.6400183475378788,0.08044011101006063
