model,model_id,anchor,layer,run_kind,attention_mass_question_options,attention_mass_wrapper_syntax,attention_entropy
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,12,corrupt_wrong_wrapped,0.48506901061778585,0.5149309896941947,2.4330967890850284
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,12,vanilla_same_item,0.854427510729833,0.14557249008797718,2.278832178096674
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,13,clean_correct_wrapped,0.6101104347418919,0.3898895649854686,3.069391741390117
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,13,corrupt_wrong_wrapped,0.6155789831651955,0.38442101629569586,3.058510528008143
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,13,vanilla_same_item,0.7594558576401391,0.24054414264453725,2.965884791305888
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,14,clean_correct_wrapped,0.3213609700958197,0.678639030602582,1.9201342716931034
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,14,corrupt_wrong_wrapped,0.31992918847641905,0.6800708124274583,1.9137556368914672
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,14,vanilla_same_item,0.8097548639118862,0.1902451374764307,1.8541024563044013
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,15,clean_correct_wrapped,0.6027820676745853,0.3972179326540796,2.8640202083782844
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,15,corrupt_wrong_wrapped,0.6103999890096518,0.38960001167625596,2.867869612870858
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,15,vanilla_same_item,0.8071034073245363,0.19289659302783926,2.741301965295223
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,16,clean_correct_wrapped,0.5381576623255787,0.4618423381357383,2.8253257839651833
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,16,corrupt_wrong_wrapped,0.5413693320220986,0.45863066677954484,2.8256168977384677
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,16,vanilla_same_item,0.8433575548146588,0.1566424445975885,2.728826458325163
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,17,clean_correct_wrapped,0.42715075979636363,0.572849239520075,2.862006597717603
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,17,corrupt_wrong_wrapped,0.43418322933918146,0.5658167702100942,2.8633628908827986
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,17,vanilla_same_item,0.7408220478912205,0.25917795385800474,2.602711573016574
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,18,clean_correct_wrapped,0.48726330760264,0.5127366926696877,2.8886551561759926
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,18,corrupt_wrong_wrapped,0.49336655261247403,0.5066334460013374,2.89117234066913
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,18,vanilla_same_item,0.7502723983206662,0.24972760239578273,2.7377211229668723
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,19,clean_correct_wrapped,0.30515388065311994,0.6948461200456456,2.243167176193487
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,19,corrupt_wrong_wrapped,0.31575630404249166,0.6842436959038418,2.253048824494955
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,19,vanilla_same_item,0.669872360940214,0.3301276385290575,2.073588087873762
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,20,clean_correct_wrapped,0.3438432138411211,0.6561567849120158,2.3460230445478394
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,20,corrupt_wrong_wrapped,0.35629333208008873,0.6437066670912944,2.362801216638576
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,20,vanilla_same_item,0.7377885000675698,0.262211498857356,2.2454045717653477
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,21,clean_correct_wrapped,0.3047137345387309,0.6952862649605942,2.412161028019169
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,21,corrupt_wrong_wrapped,0.32012234071526174,0.6798776608466971,2.4373470608951053
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,21,vanilla_same_item,0.7606451581482521,0.23935484220362296,2.2326917941545883
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,22,clean_correct_wrapped,0.3532558284117432,0.6467441721896952,2.2133937102573658
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,22,corrupt_wrong_wrapped,0.35982983341248015,0.6401701650629229,2.194098020358044
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,22,vanilla_same_item,0.7494051645236144,0.2505948362881578,2.1638391989016394
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,23,clean_correct_wrapped,0.24505856340992965,0.7549414355193445,2.1160064763972284
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,23,corrupt_wrong_wrapped,0.25236439676010747,0.747635602831639,2.108070151023131
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,23,vanilla_same_item,0.7247434209091594,0.2752565804829961,1.9991545960655686
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,24,clean_correct_wrapped,0.24784449979525083,0.7521555012680198,2.2784599970394406
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,24,corrupt_wrong_wrapped,0.25416392323950776,0.7458360772345716,2.260598815228158
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,24,vanilla_same_item,0.7066640147758266,0.29333598564014013,2.183394229812929
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,25,clean_correct_wrapped,0.21192774829041064,0.788072252764274,1.9378379349994381
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,25,corrupt_wrong_wrapped,0.2137967862141386,0.786203213766141,1.9233392896446568
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,25,vanilla_same_item,0.733219097774014,0.2667809023328836,1.8595033683362063
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,26,clean_correct_wrapped,0.253650810959823,0.7463491899772868,2.4099962329655362
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,26,corrupt_wrong_wrapped,0.2568781071664904,0.7431218922083751,2.3890879638013782
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,26,vanilla_same_item,0.7875579509214959,0.21244204974956593,2.305877999360101
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,27,clean_correct_wrapped,0.4737591422656646,0.5262408578221016,3.4350234541976663
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,27,corrupt_wrong_wrapped,0.4860607915602513,0.5139392081487445,3.4594222204378475
Qwen,Qwen/Qwen2.5-1.5B-Instruct,all_option_ends,27,vanilla_same_item,0.6437838329928595,0.356216167854363,3.2064807534217836
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,0,clean_correct_wrapped,0.794482969870028,0.20551702775627248,1.813682537434178
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,0,corrupt_wrong_wrapped,0.7989203518461663,0.20107964556338428,1.8145208259078276
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,0,vanilla_same_item,0.8141985293374402,0.1858014681142994,1.824801216922686
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,1,clean_correct_wrapped,0.6915617679561117,0.30843823161612605,2.9404390636679025
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,1,corrupt_wrong_wrapped,0.7012936701325079,0.29870632993269075,2.96908473769388
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,1,vanilla_same_item,0.6983860192617372,0.3016139815705908,2.8177571581643925
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,2,clean_correct_wrapped,0.4186242380562858,0.581375762673227,2.104208552268775
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,2,corrupt_wrong_wrapped,0.4175804970711676,0.5824195035758472,2.1224730319926266
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,2,vanilla_same_item,0.8380902033725002,0.16190979689904852,1.9179673169679634
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,3,clean_correct_wrapped,0.40248809826906506,0.5975119009642244,2.030311162090092
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,3,corrupt_wrong_wrapped,0.4052924735029354,0.5947075260683263,2.0521160735111486
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,3,vanilla_same_item,0.8593068416256676,0.14069315873174146,1.7962253159903294
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,4,clean_correct_wrapped,0.32870554527949625,0.6712944551874483,1.7311643266304237
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,4,corrupt_wrong_wrapped,0.3265776846378373,0.67342231477132,1.7311156988252847
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,4,vanilla_same_item,0.8740386343020812,0.12596136503460598,1.5017975072490803
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,5,clean_correct_wrapped,0.44049489062653113,0.5595051100671177,1.8979952627760277
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,5,corrupt_wrong_wrapped,0.4403798756217658,0.5596201247635904,1.9121742888980093
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,5,vanilla_same_item,0.9085121415559618,0.09148786034192523,1.6853404870877664
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,6,clean_correct_wrapped,0.3307149979693882,0.6692850017854441,1.533450447169966
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,6,corrupt_wrong_wrapped,0.330515873706899,0.6694841262946672,1.5262614922725992
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,6,vanilla_same_item,0.8937327655023186,0.10626723406958342,1.3655698299722485
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,7,clean_correct_wrapped,0.5671679080790605,0.43283209238087855,2.496608660696891
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,7,corrupt_wrong_wrapped,0.5700529252153544,0.42994707556503037,2.504892851935144
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,7,vanilla_same_item,0.786787227843619,0.2132127718519758,2.3777106283090963
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,8,clean_correct_wrapped,0.46552996648499884,0.5344700336947426,1.8995459342081296
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,8,corrupt_wrong_wrapped,0.46185984057053203,0.5381401590306109,1.9013311250189766
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,8,vanilla_same_item,0.8822221818548209,0.11777781672332739,1.8467750040716246
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,9,clean_correct_wrapped,0.4554219807053587,0.5445780182232616,2.2126366284245638
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,9,corrupt_wrong_wrapped,0.45609832609664563,0.543901672975037,2.213789622642492
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,9,vanilla_same_item,0.8286116357550434,0.17138836451728517,2.081123168923353
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,10,clean_correct_wrapped,0.5258053527035903,0.4741946464099469,2.2911414859456976
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,10,corrupt_wrong_wrapped,0.5242616528624013,0.4757383485244624,2.2855163482938243
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,10,vanilla_same_item,0.8578947205128392,0.14210527926628622,2.183217086054777
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,11,clean_correct_wrapped,0.506276193096465,0.49372380661348575,2.5319131269136017
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,11,corrupt_wrong_wrapped,0.5054877713091448,0.4945122287959546,2.523895509427751
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,11,vanilla_same_item,0.750518906887003,0.24948109371606525,2.390709436157642
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,12,clean_correct_wrapped,0.4739744361658388,0.5260255644303012,2.242517123645858
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,12,corrupt_wrong_wrapped,0.46949972792866723,0.530500271658178,2.229481359832642
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,12,vanilla_same_item,0.816770201118787,0.18322979968458122,2.102819305170349
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,13,clean_correct_wrapped,0.5688485364192843,0.4311514638147802,2.462647215551452
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,13,corrupt_wrong_wrapped,0.5716945960856633,0.4283054041675814,2.4581291302080044
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,13,vanilla_same_item,0.7102318179872742,0.28976818196272675,2.3947715387445445
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,14,clean_correct_wrapped,0.29433461333450317,0.7056653865354808,1.6959983486657073
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,14,corrupt_wrong_wrapped,0.29159832752226406,0.7084016737005933,1.687676914677103
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,14,vanilla_same_item,0.7423788990434456,0.25762110041749287,1.6615162071675333
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,15,clean_correct_wrapped,0.584464769633693,0.41553523054190794,2.4489364096977537
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,15,corrupt_wrong_wrapped,0.5867953012604717,0.4132046990621014,2.4515404330348183
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,15,vanilla_same_item,0.7653359823193678,0.23466401701047385,2.3266037253230625
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,16,clean_correct_wrapped,0.5108622322960501,0.4891377682758125,2.7114000739148487
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,16,corrupt_wrong_wrapped,0.5054018248834592,0.49459817537633505,2.7064833748061754
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,16,vanilla_same_item,0.7894256395543058,0.21057436116366873,2.598480545803469
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,17,clean_correct_wrapped,0.40872190588967316,0.5912780943198663,2.672050448886135
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,17,corrupt_wrong_wrapped,0.4109758201997074,0.5890241805225412,2.671830988344219
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,17,vanilla_same_item,0.705619952359714,0.29438004782835253,2.4186709143134237
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,18,clean_correct_wrapped,0.46422856413921,0.5357714374241629,2.4596526142797974
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,18,corrupt_wrong_wrapped,0.46753143722945806,0.5324685644633309,2.461144006461428
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,18,vanilla_same_item,0.7033031642514248,0.2966968358953801,2.306458452030232
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,19,clean_correct_wrapped,0.2856252294257709,0.7143747705695279,1.8878988494780677
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,19,corrupt_wrong_wrapped,0.29027111922928545,0.7097288818248378,1.8771140418380325
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,19,vanilla_same_item,0.6382967232467992,0.36170327516625994,1.7449346794872083
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,20,clean_correct_wrapped,0.2953948846570754,0.7046051148706448,2.0763575703777066
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,20,corrupt_wrong_wrapped,0.3004627620888703,0.6995372372358079,2.08961371748071
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,20,vanilla_same_item,0.6353457769216116,0.3646542227742935,2.0331156957524215
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,21,clean_correct_wrapped,0.2560765689156737,0.7439234301164659,2.2951829060432853
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,21,corrupt_wrong_wrapped,0.27209400408234136,0.7279059970081506,2.2972768341370844
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,21,vanilla_same_item,0.6629215907657969,0.3370784083155953,2.2077943536011797
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,22,clean_correct_wrapped,0.3269969634243239,0.6730030356161059,1.9056364303705289
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,22,corrupt_wrong_wrapped,0.3356839574693268,0.6643160435655672,1.8845961055908984
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,22,vanilla_same_item,0.6562733681903569,0.3437266318677188,1.8994391297300657
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,23,clean_correct_wrapped,0.21893504065081998,0.7810649585793046,1.8912107874753705
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,23,corrupt_wrong_wrapped,0.22858374929907543,0.771416249453248,1.8957649852721052
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,23,vanilla_same_item,0.644460399797415,0.355539599102932,1.7578649703064684
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,24,clean_correct_wrapped,0.21852544874420105,0.7814745509749202,1.9913205016333588
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,24,corrupt_wrong_wrapped,0.23018946585738076,0.7698105347043241,1.9793683747641133
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,24,vanilla_same_item,0.6447268151415091,0.355273185593991,1.9225452114005535
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,25,clean_correct_wrapped,0.19521901712196554,0.8047809827833148,1.8636690450276723
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,25,corrupt_wrong_wrapped,0.2020989996710333,0.7979009996857276,1.864903169736397
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,25,vanilla_same_item,0.6937445799968035,0.3062554197008749,1.846000283286629
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,26,clean_correct_wrapped,0.22931188567998065,0.770688113646462,2.407680747627515
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,26,corrupt_wrong_wrapped,0.24132449756461738,0.7586755024149404,2.4047720476113565
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,26,vanilla_same_item,0.7173346329425053,0.28266536733353437,2.4019679452766454
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,27,clean_correct_wrapped,0.38674502521058424,0.6132549754190749,3.1546820471466286
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,27,corrupt_wrong_wrapped,0.4056285123151729,0.5943714869167787,3.1859133325386466
Qwen,Qwen/Qwen2.5-1.5B-Instruct,options_end,27,vanilla_same_item,0.5905924598020355,0.40940754038134686,3.013979164689605
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,0,clean_correct_wrapped,0.6662992452336256,0.3337007553315584,3.892100744470954
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,0,corrupt_wrong_wrapped,0.6373338007628189,0.36266619988708915,3.9402881205578644
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,0,vanilla_same_item,0.746009354685797,0.2539906455577112,3.607900931673745
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,1,clean_correct_wrapped,0.24963334777677934,0.7503666519946455,1.3624251838594985
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,1,corrupt_wrong_wrapped,0.2507164885882389,0.7492835114959749,1.3779267729770315
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,1,vanilla_same_item,0.8926627972627362,0.10733720214726418,1.3142261069787977
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,2,clean_correct_wrapped,0.15896797449183184,0.8410320257182078,1.340510141084281
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,2,corrupt_wrong_wrapped,0.16813457980674368,0.8318654195873251,1.3504986213256294
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,2,vanilla_same_item,0.7557115463899325,0.24428845485234887,1.5308312745857984
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,3,clean_correct_wrapped,0.18373345189792115,0.8162665474042297,1.422976387059316
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,3,corrupt_wrong_wrapped,0.19045183324452827,0.8095481672196502,1.4141832115594297
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,3,vanilla_same_item,0.7526539534717915,0.24734604659010073,1.6336776555112253
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,4,clean_correct_wrapped,0.21119494728759625,0.7888050532430255,1.7426075116886446
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,4,corrupt_wrong_wrapped,0.2199046856930346,0.7800953140225344,1.7571037403214722
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,4,vanilla_same_item,0.7676608202847052,0.23233918054805447,1.8403606033480415
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,5,clean_correct_wrapped,0.2533198301867774,0.746680169844767,1.7881340004969388
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,5,corrupt_wrong_wrapped,0.2597337887806473,0.7402662115792009,1.7933253953310972
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,5,vanilla_same_item,0.7655997898689478,0.23440021024890786,1.9325020311307162
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,6,clean_correct_wrapped,0.2760848580254848,0.723915143252428,2.0771789150622983
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,6,corrupt_wrong_wrapped,0.2800808307670604,0.7199191693722544,2.0998186728917063
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,6,vanilla_same_item,0.7553783149637919,0.24462168550264324,2.1511798485772062
