model,model_id,anchor,layer,cos_clean_vanilla,cos_corrupt_vanilla,delta_clean_minus_corrupt
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,7,0.913280029296875,0.9048573495944341,0.008422679702440898
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,9,0.9070507629712423,0.8991179913282394,0.007932771643002828
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,11,0.9014599212010701,0.8922098952531815,0.009250025947888691
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,14,0.8997377600272497,0.8860873597860336,0.013650400241216025
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,16,0.887872502207756,0.8705002915859222,0.017372210621833802
Mistral,mistralai/Mistral-7B-Instruct-v0.3,all_option_ends,18,0.8720291731754939,0.8501239941517512,0.021905179023742675
Mistral,mistralai/Mistral-7B-Instruct-v0.3,options_end,2,0.9102690597375234,0.9029220688343048,0.007346990903218587
Mistral,mistralai/Mistral-7B-Instruct-v0.3,options_end,5,0.9180553662776947,0.9113428290685018,0.0067125372091929114
Mistral,mistralai/Mistral-7B-Instruct-v0.3,options_end,7,0.9172999656200409,0.9103749977548917,0.00692496786514918
Mistral,mistralai/Mistral-7B-Instruct-v0.3,options_end,9,0.9092043910423915,0.9019303253293037,0.007274065713087718
Mistral,mistralai/Mistral-7B-Instruct-v0.3,options_end,11,0.9022098348538081,0.8931554367144903,0.00905439813931783
Mistral,mistralai/Mistral-7B-Instruct-v0.3,options_end,14,0.8907936308781306,0.8753503836194674,0.015443247258663178
Mistral,mistralai/Mistral-7B-Instruct-v0.3,options_end,16,0.8655986867348353,0.8446844642361006,0.020914222498734793
Mistral,mistralai/Mistral-7B-Instruct-v0.3,options_end,18,0.8467335562904675,0.8207967840631802,0.025936772227287293
Phi,microsoft/Phi-3.5-mini-instruct,all_option_ends,2,0.9581320805080009,0.950904572213238,0.007227508294762987
Phi,microsoft/Phi-3.5-mini-instruct,all_option_ends,5,0.9659873831904295,0.9581373969488072,0.007849986241622404
Phi,microsoft/Phi-3.5-mini-instruct,all_option_ends,7,0.9719203268036698,0.9671119117375576,0.004808415066112171
Phi,microsoft/Phi-3.5-mini-instruct,all_option_ends,9,0.9740312117518801,0.9681513289158995,0.0058798828359806175
Phi,microsoft/Phi-3.5-mini-instruct,all_option_ends,11,0.9736819833968625,0.9678127007050947,0.005869282691767721
Phi,microsoft/Phi-3.5-mini-instruct,all_option_ends,14,0.9754831039092757,0.9698363808971463,0.005646723012129466
Phi,microsoft/Phi-3.5-mini-instruct,all_option_ends,16,0.972502690373045,0.9663196741179987,0.006183016255046382
Phi,microsoft/Phi-3.5-mini-instruct,all_option_ends,18,0.9695185924118216,0.9638543291525408,0.005664263259280811
Phi,microsoft/Phi-3.5-mini-instruct,options_end,2,0.9582276477506666,0.9556422285509832,0.0025854191996834493
Phi,microsoft/Phi-3.5-mini-instruct,options_end,5,0.9646840544812607,0.9605820799867312,0.004101974494529493
Phi,microsoft/Phi-3.5-mini-instruct,options_end,7,0.9675760503971216,0.9634370210044312,0.00413902939269037
Phi,microsoft/Phi-3.5-mini-instruct,options_end,9,0.9672594467798868,0.9615881397868647,0.00567130699302211
Phi,microsoft/Phi-3.5-mini-instruct,options_end,11,0.9633354445298513,0.9568503300348917,0.006485114494959514
Phi,microsoft/Phi-3.5-mini-instruct,options_end,14,0.9626234562108011,0.955453827299855,0.007169628910946123
Phi,microsoft/Phi-3.5-mini-instruct,options_end,16,0.9569708300810872,0.9482388905051983,0.008731939575888893
Phi,microsoft/Phi-3.5-mini-instruct,options_end,18,0.9537811733104966,0.9449851217143463,0.008796051596150253
